SiteID, 36278.0,Site Timezone,-8.0,Data Timezone,-8.0
Longitude, -118.1689
Latitude, 35.262848
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s)
2011,1,1,0,0,3.064
2011,1,1,0,5,3.0540000000000003
2011,1,1,0,10,3.073
2011,1,1,0,15,3.097
2011,1,1,0,20,3.106
2011,1,1,0,25,3.115
2011,1,1,0,30,3.088
2011,1,1,0,35,3.0180000000000002
2011,1,1,0,40,2.984
2011,1,1,0,45,3.0060000000000002
2011,1,1,0,50,3.036
2011,1,1,0,55,3.021
2011,1,1,1,0,2.96
2011,1,1,1,5,2.908
2011,1,1,1,10,2.868
2011,1,1,1,15,2.838
2011,1,1,1,20,2.841
2011,1,1,1,25,2.862
2011,1,1,1,30,2.871
2011,1,1,1,35,2.853
2011,1,1,1,40,2.835
2011,1,1,1,45,2.838
2011,1,1,1,50,2.853
2011,1,1,1,55,2.868
2011,1,1,2,0,2.896
2011,1,1,2,5,2.951
2011,1,1,2,10,3.0180000000000002
2011,1,1,2,15,3.076
2011,1,1,2,20,3.137
2011,1,1,2,25,3.201
2011,1,1,2,30,3.293
2011,1,1,2,35,3.43
2011,1,1,2,40,3.622
2011,1,1,2,45,3.86
2011,1,1,2,50,4.059
2011,1,1,2,55,4.175
2011,1,1,3,0,4.275
2011,1,1,3,5,4.4190000000000005
2011,1,1,3,10,4.593
2011,1,1,3,15,4.812
2011,1,1,3,20,5.008
2011,1,1,3,25,5.133
2011,1,1,3,30,5.255
2011,1,1,3,35,5.414
2011,1,1,3,40,5.548
2011,1,1,3,45,5.6450000000000005
2011,1,1,3,50,5.688
2011,1,1,3,55,5.713
2011,1,1,4,0,5.743
2011,1,1,4,5,5.771
2011,1,1,4,10,5.813
2011,1,1,4,15,5.822
2011,1,1,4,20,5.752
2011,1,1,4,25,5.673
2011,1,1,4,30,5.652
2011,1,1,4,35,5.63
2011,1,1,4,40,5.548
2011,1,1,4,45,5.465
2011,1,1,4,50,5.453
2011,1,1,4,55,5.417
2011,1,1,5,0,5.304
2011,1,1,5,5,5.224
2011,1,1,5,10,5.215
2011,1,1,5,15,5.215
2011,1,1,5,20,5.182
2011,1,1,5,25,5.175
2011,1,1,5,30,5.188
2011,1,1,5,35,5.142
2011,1,1,5,40,5.0840000000000005
2011,1,1,5,45,5.078
2011,1,1,5,50,5.096
2011,1,1,5,55,5.093
2011,1,1,6,0,5.093
2011,1,1,6,5,5.111
2011,1,1,6,10,5.127
2011,1,1,6,15,5.105
2011,1,1,6,20,5.09
2011,1,1,6,25,5.066
2011,1,1,6,30,5.008
2011,1,1,6,35,4.953
2011,1,1,6,40,4.944
2011,1,1,6,45,4.95
2011,1,1,6,50,4.934
2011,1,1,6,55,4.934
2011,1,1,7,0,4.98
2011,1,1,7,5,5.014
2011,1,1,7,10,5.026
2011,1,1,7,15,5.038
2011,1,1,7,20,5.029
2011,1,1,7,25,5.008
2011,1,1,7,30,4.962
2011,1,1,7,35,4.934
2011,1,1,7,40,4.999
2011,1,1,7,45,5.0840000000000005
2011,1,1,7,50,5.0840000000000005
2011,1,1,7,55,5.1080000000000005
2011,1,1,8,0,5.136
2011,1,1,8,5,5.075
2011,1,1,8,10,4.965
2011,1,1,8,15,4.971
2011,1,1,8,20,4.947
2011,1,1,8,25,4.867
2011,1,1,8,30,4.791
2011,1,1,8,35,4.7090000000000005
2011,1,1,8,40,4.641
2011,1,1,8,45,4.596
2011,1,1,8,50,4.605
2011,1,1,8,55,4.6290000000000004
2011,1,1,9,0,4.6290000000000004
2011,1,1,9,5,4.62
2011,1,1,9,10,4.599
2011,1,1,9,15,4.516
2011,1,1,9,20,4.388
2011,1,1,9,25,4.306
2011,1,1,9,30,4.281
2011,1,1,9,35,4.275
2011,1,1,9,40,4.239
2011,1,1,9,45,4.196
2011,1,1,9,50,4.1530000000000005
2011,1,1,9,55,4.107
2011,1,1,10,0,4.0680000000000005
2011,1,1,10,5,4.037
2011,1,1,10,10,4.0280000000000005
2011,1,1,10,15,3.997
