SiteID, 10245.0,Site Timezone,-6.0,Data Timezone,-6.0
Longitude, -100.245544
Latitude, 32.315845
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s)
2011,1,1,0,0,4.962
2011,1,1,0,5,5.13
2011,1,1,0,10,5.2700000000000005
2011,1,1,0,15,5.377
2011,1,1,0,20,5.438
2011,1,1,0,25,5.456
2011,1,1,0,30,5.383
2011,1,1,0,35,5.194
2011,1,1,0,40,4.974
2011,1,1,0,45,4.764
2011,1,1,0,50,4.5440000000000005
2011,1,1,0,55,4.327
2011,1,1,1,0,4.1930000000000005
2011,1,1,1,5,4.074
2011,1,1,1,10,3.9370000000000003
2011,1,1,1,15,3.86
2011,1,1,1,20,3.793
2011,1,1,1,25,3.763
2011,1,1,1,30,3.7840000000000003
2011,1,1,1,35,3.753
2011,1,1,1,40,3.656
2011,1,1,1,45,3.5
2011,1,1,1,50,3.329
2011,1,1,1,55,3.207
2011,1,1,2,0,3.164
2011,1,1,2,5,3.186
2011,1,1,2,10,3.189
2011,1,1,2,15,3.082
2011,1,1,2,20,3.003
2011,1,1,2,25,3.039
2011,1,1,2,30,3.125
2011,1,1,2,35,3.286
2011,1,1,2,40,3.585
2011,1,1,2,45,3.918
2011,1,1,2,50,4.19
2011,1,1,2,55,4.223
2011,1,1,3,0,4.043
2011,1,1,3,5,3.802
2011,1,1,3,10,3.595
2011,1,1,3,15,3.463
2011,1,1,3,20,3.375
2011,1,1,3,25,3.323
2011,1,1,3,30,3.341
2011,1,1,3,35,3.341
2011,1,1,3,40,3.231
2011,1,1,3,45,3.073
2011,1,1,3,50,3.027
2011,1,1,3,55,3.112
2011,1,1,4,0,3.17
2011,1,1,4,5,3.207
2011,1,1,4,10,3.323
2011,1,1,4,15,3.5060000000000002
2011,1,1,4,20,3.799
2011,1,1,4,25,4.181
2011,1,1,4,30,4.461
2011,1,1,4,35,4.507
2011,1,1,4,40,4.455
2011,1,1,4,45,4.547
2011,1,1,4,50,4.837
2011,1,1,4,55,5.179
2011,1,1,5,0,5.478
2011,1,1,5,5,5.697
2011,1,1,5,10,5.774
2011,1,1,5,15,5.795
2011,1,1,5,20,5.841
2011,1,1,5,25,5.832
2011,1,1,5,30,5.78
2011,1,1,5,35,5.758
2011,1,1,5,40,5.844
2011,1,1,5,45,5.987
2011,1,1,5,50,6.094
2011,1,1,5,55,6.18
2011,1,1,6,0,6.176
