SiteID, 35020.0,Site Timezone,-8.0,Data Timezone,-8.0
Longitude, -118.292267
Latitude, 35.081593
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s)
2011,1,1,0,0,3.762
2011,1,1,0,5,3.75
2011,1,1,0,10,3.735
2011,1,1,0,15,3.7560000000000002
2011,1,1,0,20,3.8200000000000003
2011,1,1,0,25,3.875
2011,1,1,0,30,3.918
2011,1,1,0,35,3.9570000000000003
2011,1,1,0,40,3.982
2011,1,1,0,45,4.003
2011,1,1,0,50,4.009
2011,1,1,0,55,3.985
2011,1,1,1,0,3.985
2011,1,1,1,5,3.997
2011,1,1,1,10,4.046
2011,1,1,1,15,4.122
2011,1,1,1,20,4.229
2011,1,1,1,25,4.333
2011,1,1,1,30,4.421
2011,1,1,1,35,4.455
2011,1,1,1,40,4.452
2011,1,1,1,45,4.458
2011,1,1,1,50,4.479
2011,1,1,1,55,4.547
2011,1,1,2,0,4.678
2011,1,1,2,5,4.849
2011,1,1,2,10,5.013
2011,1,1,2,15,5.166
2011,1,1,2,20,5.313
2011,1,1,2,25,5.4190000000000005
2011,1,1,2,30,5.477
2011,1,1,2,35,5.535
2011,1,1,2,40,5.609
2011,1,1,2,45,5.697
2011,1,1,2,50,5.74
2011,1,1,2,55,5.7700000000000005
2011,1,1,3,0,5.773
2011,1,1,3,5,5.6850000000000005
2011,1,1,3,10,5.55
2011,1,1,3,15,5.468
2011,1,1,3,20,5.441
2011,1,1,3,25,5.41
2011,1,1,3,30,5.401
2011,1,1,3,35,5.383
2011,1,1,3,40,5.297
2011,1,1,3,45,5.221
2011,1,1,3,50,5.215
2011,1,1,3,55,5.239
2011,1,1,4,0,5.251
2011,1,1,4,5,5.248
2011,1,1,4,10,5.245
2011,1,1,4,15,5.23
2011,1,1,4,20,5.178
2011,1,1,4,25,5.105
2011,1,1,4,30,5.059
2011,1,1,4,35,5.023
2011,1,1,4,40,4.971
2011,1,1,4,45,4.931
2011,1,1,4,50,4.904
2011,1,1,4,55,4.873
2011,1,1,5,0,4.836
2011,1,1,5,5,4.8
2011,1,1,5,10,4.785
2011,1,1,5,15,4.791
2011,1,1,5,20,4.7940000000000005
2011,1,1,5,25,4.781
2011,1,1,5,30,4.781
2011,1,1,5,35,4.788
2011,1,1,5,40,4.7780000000000005
2011,1,1,5,45,4.76
2011,1,1,5,50,4.736
2011,1,1,5,55,4.69
2011,1,1,6,0,4.632
2011,1,1,6,5,4.598
2011,1,1,6,10,4.6080000000000005
2011,1,1,6,15,4.611
2011,1,1,6,20,4.543
2011,1,1,6,25,4.449
2011,1,1,6,30,4.366
2011,1,1,6,35,4.293
2011,1,1,6,40,4.232
2011,1,1,6,45,4.205
2011,1,1,6,50,4.211
2011,1,1,6,55,4.211
2011,1,1,7,0,4.205
2011,1,1,7,5,4.232
2011,1,1,7,10,4.238
2011,1,1,7,15,4.211
2011,1,1,7,20,4.241
2011,1,1,7,25,4.3020000000000005
2011,1,1,7,30,4.308
2011,1,1,7,35,4.266
2011,1,1,7,40,4.232
2011,1,1,7,45,4.232
2011,1,1,7,50,4.189
2011,1,1,7,55,4.116
2011,1,1,8,0,4.067
2011,1,1,8,5,3.991
2011,1,1,8,10,3.9210000000000003
2011,1,1,8,15,3.844
2011,1,1,8,20,3.759
2011,1,1,8,25,3.6830000000000003
2011,1,1,8,30,3.622
2011,1,1,8,35,3.5300000000000002
2011,1,1,8,40,3.4170000000000003
2011,1,1,8,45,3.347
2011,1,1,8,50,3.31
2011,1,1,8,55,3.271
2011,1,1,9,0,3.204
2011,1,1,9,5,3.173
2011,1,1,9,10,3.164
2011,1,1,9,15,3.161
2011,1,1,9,20,3.146
2011,1,1,9,25,3.106
2011,1,1,9,30,3.1
2011,1,1,9,35,3.182
2011,1,1,9,40,3.228
2011,1,1,9,45,3.209
2011,1,1,9,50,3.231
2011,1,1,9,55,3.261
2011,1,1,10,0,3.261
2011,1,1,10,5,3.258
2011,1,1,10,10,3.295
2011,1,1,10,15,3.3770000000000002
2011,1,1,10,20,3.484
2011,1,1,10,25,3.594
2011,1,1,10,30,3.682
2011,1,1,10,35,3.685
2011,1,1,10,40,3.615
2011,1,1,10,45,3.527
2011,1,1,10,50,3.469
2011,1,1,10,55,3.435
2011,1,1,11,0,3.4410000000000003
2011,1,1,11,5,3.457
2011,1,1,11,10,3.487
2011,1,1,11,15,3.508
2011,1,1,11,20,3.527
2011,1,1,11,25,3.512
2011,1,1,11,30,3.444
