SiteID, 37679.0,Site Timezone,-8.0,Data Timezone,-8.0
Longitude, -118.112732
Latitude, 35.504681
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s)
2011,1,1,0,0,3.259
2011,1,1,0,5,3.234
2011,1,1,0,10,3.115
2011,1,1,0,15,2.972
2011,1,1,0,20,2.898
2011,1,1,0,25,2.914
2011,1,1,0,30,2.956
2011,1,1,0,35,2.9410000000000003
2011,1,1,0,40,2.9170000000000003
2011,1,1,0,45,2.923
2011,1,1,0,50,2.914
2011,1,1,0,55,2.847
2011,1,1,1,0,2.813
2011,1,1,1,5,2.822
2011,1,1,1,10,2.825
2011,1,1,1,15,2.7920000000000003
2011,1,1,1,20,2.74
2011,1,1,1,25,2.676
2011,1,1,1,30,2.636
2011,1,1,1,35,2.63
2011,1,1,1,40,2.685
2011,1,1,1,45,2.749
2011,1,1,1,50,2.795
2011,1,1,1,55,2.862
2011,1,1,2,0,2.956
2011,1,1,2,5,3.072
2011,1,1,2,10,3.164
2011,1,1,2,15,3.222
2011,1,1,2,20,3.295
2011,1,1,2,25,3.378
2011,1,1,2,30,3.448
2011,1,1,2,35,3.552
2011,1,1,2,40,3.664
2011,1,1,2,45,3.698
2011,1,1,2,50,3.722
2011,1,1,2,55,3.823
2011,1,1,3,0,3.9450000000000003
2011,1,1,3,5,3.994
2011,1,1,3,10,3.967
2011,1,1,3,15,3.915
2011,1,1,3,20,3.872
2011,1,1,3,25,3.857
2011,1,1,3,30,3.851
2011,1,1,3,35,3.838
2011,1,1,3,40,3.774
2011,1,1,3,45,3.689
2011,1,1,3,50,3.613
2011,1,1,3,55,3.552
2011,1,1,4,0,3.5060000000000002
2011,1,1,4,5,3.5060000000000002
2011,1,1,4,10,3.5420000000000003
2011,1,1,4,15,3.561
2011,1,1,4,20,3.561
2011,1,1,4,25,3.573
2011,1,1,4,30,3.616
2011,1,1,4,35,3.6590000000000003
2011,1,1,4,40,3.646
2011,1,1,4,45,3.601
2011,1,1,4,50,3.5700000000000003
2011,1,1,4,55,3.543
2011,1,1,5,0,3.512
2011,1,1,5,5,3.515
2011,1,1,5,10,3.515
2011,1,1,5,15,3.448
2011,1,1,5,20,3.356
2011,1,1,5,25,3.329
2011,1,1,5,30,3.347
2011,1,1,5,35,3.344
2011,1,1,5,40,3.2920000000000003
2011,1,1,5,45,3.25
2011,1,1,5,50,3.24
2011,1,1,5,55,3.286
2011,1,1,6,0,3.3200000000000003
2011,1,1,6,5,3.3080000000000003
2011,1,1,6,10,3.286
2011,1,1,6,15,3.2680000000000002
2011,1,1,6,20,3.253
2011,1,1,6,25,3.243
2011,1,1,6,30,3.204
2011,1,1,6,35,3.121
2011,1,1,6,40,3.005
2011,1,1,6,45,2.923
2011,1,1,6,50,2.89
2011,1,1,6,55,2.9170000000000003
2011,1,1,7,0,2.88
2011,1,1,7,5,2.774
2011,1,1,7,10,2.6550000000000002
2011,1,1,7,15,2.612
2011,1,1,7,20,2.624
2011,1,1,7,25,2.6270000000000002
2011,1,1,7,30,2.6270000000000002
2011,1,1,7,35,2.499
2011,1,1,7,40,2.4290000000000003
2011,1,1,7,45,2.355
2011,1,1,7,50,2.203
2011,1,1,7,55,2.13
2011,1,1,8,0,2.075
2011,1,1,8,5,1.8920000000000001
2011,1,1,8,10,1.794
2011,1,1,8,15,1.776
2011,1,1,8,20,1.7630000000000001
2011,1,1,8,25,1.675
2011,1,1,8,30,1.5290000000000001
2011,1,1,8,35,1.428
2011,1,1,8,40,1.379
2011,1,1,8,45,1.355
2011,1,1,8,50,1.37
2011,1,1,8,55,1.419
2011,1,1,9,0,1.483
2011,1,1,9,5,1.5250000000000001
2011,1,1,9,10,1.565
2011,1,1,9,15,1.623
2011,1,1,9,20,1.657
2011,1,1,9,25,1.6480000000000001
2011,1,1,9,30,1.602
2011,1,1,9,35,1.593
2011,1,1,9,40,1.681
2011,1,1,9,45,1.77
2011,1,1,9,50,1.812
2011,1,1,9,55,1.861
2011,1,1,10,0,2.005
2011,1,1,10,5,2.16
2011,1,1,10,10,2.237
2011,1,1,10,15,2.261
2011,1,1,10,20,2.273
2011,1,1,10,25,2.322
2011,1,1,10,30,2.3890000000000002
2011,1,1,10,35,2.42
2011,1,1,10,40,2.4290000000000003
2011,1,1,10,45,2.465
2011,1,1,10,50,2.566
2011,1,1,10,55,2.67
2011,1,1,11,0,2.633
2011,1,1,11,5,2.45
2011,1,1,11,10,2.243
2011,1,1,11,15,2.114
2011,1,1,11,20,2.0380000000000003
2011,1,1,11,25,2.008
2011,1,1,11,30,1.995
2011,1,1,11,35,1.989
2011,1,1,11,40,2.111
2011,1,1,11,45,2.255
2011,1,1,11,50,2.255
2011,1,1,11,55,2.148
2011,1,1,12,0,2.0140000000000002
2011,1,1,12,5,1.953
2011,1,1,12,10,1.971
2011,1,1,12,15,2.008
2011,1,1,12,20,2.017
2011,1,1,12,25,1.94
2011,1,1,12,30,1.788
2011,1,1,12,35,1.712
2011,1,1,12,40,1.849
2011,1,1,12,45,2.05
2011,1,1,12,50,2.179
2011,1,1,12,55,2.2760000000000002
2011,1,1,13,0,2.325
2011,1,1,13,5,2.3890000000000002
2011,1,1,13,10,2.469
2011,1,1,13,15,2.572
2011,1,1,13,20,2.563
2011,1,1,13,25,2.395
2011,1,1,13,30,2.237
2011,1,1,13,35,2.246
2011,1,1,13,40,2.386
2011,1,1,13,45,2.45
2011,1,1,13,50,2.359
2011,1,1,13,55,2.227
2011,1,1,14,0,2.191
2011,1,1,14,5,2.243
2011,1,1,14,10,2.2880000000000003
2011,1,1,14,15,2.334
2011,1,1,14,20,2.334
2011,1,1,14,25,2.261
2011,1,1,14,30,2.243
2011,1,1,14,35,2.337
2011,1,1,14,40,2.392
2011,1,1,14,45,2.4130000000000003
2011,1,1,14,50,2.456
2011,1,1,14,55,2.462
2011,1,1,15,0,2.435
2011,1,1,15,5,2.468
2011,1,1,15,10,2.499
2011,1,1,15,15,2.3770000000000002
2011,1,1,15,20,2.1510000000000002
2011,1,1,15,25,2.0140000000000002
2011,1,1,15,30,2.02
2011,1,1,15,35,2.001
2011,1,1,15,40,1.879
2011,1,1,15,45,1.684
2011,1,1,15,50,1.486
2011,1,1,15,55,1.333
2011,1,1,16,0,1.254
2011,1,1,16,5,1.22
2011,1,1,16,10,1.159
2011,1,1,16,15,1.178
2011,1,1,16,20,1.361
2011,1,1,16,25,1.5010000000000001
2011,1,1,16,30,1.473
2011,1,1,16,35,1.4060000000000001
2011,1,1,16,40,1.446
2011,1,1,16,45,1.562
2011,1,1,16,50,1.717
2011,1,1,16,55,1.812
2011,1,1,17,0,1.824
2011,1,1,17,5,1.818
2011,1,1,17,10,1.867
2011,1,1,17,15,1.983
2011,1,1,17,20,2.096
2011,1,1,17,25,2.154
2011,1,1,17,30,2.203
2011,1,1,17,35,2.187
2011,1,1,17,40,2.154
2011,1,1,17,45,2.056
2011,1,1,17,50,1.873
2011,1,1,17,55,1.72
2011,1,1,18,0,1.6320000000000001
2011,1,1,18,5,1.611
2011,1,1,18,10,1.562
2011,1,1,18,15,1.51
2011,1,1,18,20,1.473
2011,1,1,18,25,1.5190000000000001
2011,1,1,18,30,1.617
2011,1,1,18,35,1.76
2011,1,1,18,40,1.858
2011,1,1,18,45,1.977
2011,1,1,18,50,2.099
2011,1,1,18,55,2.212
2011,1,1,19,0,2.3000000000000003
2011,1,1,19,5,2.343
2011,1,1,19,10,2.294
2011,1,1,19,15,2.212
2011,1,1,19,20,2.136
2011,1,1,19,25,2.029
2011,1,1,19,30,1.8880000000000001
2011,1,1,19,35,1.7730000000000001
2011,1,1,19,40,1.77
2011,1,1,19,45,1.824
2011,1,1,19,50,1.837
2011,1,1,19,55,1.864
2011,1,1,20,0,1.95
2011,1,1,20,5,2.093
2011,1,1,20,10,2.218
2011,1,1,20,15,2.294
2011,1,1,20,20,2.331
2011,1,1,20,25,2.362
2011,1,1,20,30,2.383
2011,1,1,20,35,2.423
2011,1,1,20,40,2.468
2011,1,1,20,45,2.493
2011,1,1,20,50,2.563
2011,1,1,20,55,2.749
2011,1,1,21,0,2.9290000000000003
2011,1,1,21,5,3.027
2011,1,1,21,10,3.067
2011,1,1,21,15,3.0540000000000003
2011,1,1,21,20,3.06
2011,1,1,21,25,3.103
2011,1,1,21,30,3.125
2011,1,1,21,35,3.1310000000000002
2011,1,1,21,40,3.1830000000000003
2011,1,1,21,45,3.283
2011,1,1,21,50,3.329
2011,1,1,21,55,3.36
2011,1,1,22,0,3.448
2011,1,1,22,5,3.573
2011,1,1,22,10,3.625
2011,1,1,22,15,3.625
2011,1,1,22,20,3.6710000000000003
2011,1,1,22,25,3.726
2011,1,1,22,30,3.738
2011,1,1,22,35,3.799
2011,1,1,22,40,3.915
2011,1,1,22,45,3.9610000000000003
2011,1,1,22,50,3.997
2011,1,1,22,55,4.098
2011,1,1,23,0,4.187
2011,1,1,23,5,4.2540000000000004
2011,1,1,23,10,4.339
2011,1,1,23,15,4.412
2011,1,1,23,20,4.425
2011,1,1,23,25,4.461
2011,1,1,23,30,4.507
2011,1,1,23,35,4.5440000000000005
2011,1,1,23,40,4.605
2011,1,1,23,45,4.647
2011,1,1,23,50,4.65
2011,1,1,23,55,4.644
2011,1,2,0,0,4.623
2011,1,2,0,5,4.5920000000000005
2011,1,2,0,10,4.565
2011,1,2,0,15,4.556
2011,1,2,0,20,4.632
2011,1,2,0,25,4.721
2011,1,2,0,30,4.809
2011,1,2,0,35,4.846
2011,1,2,0,40,4.87
2011,1,2,0,45,4.898
2011,1,2,0,50,4.913
2011,1,2,0,55,4.87
2011,1,2,1,0,4.855
2011,1,2,1,5,4.864
2011,1,2,1,10,4.898
2011,1,2,1,15,4.962
2011,1,2,1,20,4.986
2011,1,2,1,25,4.992
2011,1,2,1,30,4.986
2011,1,2,1,35,4.971
2011,1,2,1,40,4.974
2011,1,2,1,45,4.95
2011,1,2,1,50,4.931
2011,1,2,1,55,4.922
2011,1,2,2,0,4.901
2011,1,2,2,5,4.861
2011,1,2,2,10,4.846
2011,1,2,2,15,4.8580000000000005
2011,1,2,2,20,4.885
2011,1,2,2,25,4.928
2011,1,2,2,30,4.968
2011,1,2,2,35,5.001
2011,1,2,2,40,4.998
2011,1,2,2,45,4.965
2011,1,2,2,50,4.9590000000000005
2011,1,2,2,55,5.008
2011,1,2,3,0,5.038
2011,1,2,3,5,5.093
2011,1,2,3,10,5.154
2011,1,2,3,15,5.154
2011,1,2,3,20,5.12
2011,1,2,3,25,5.102
2011,1,2,3,30,5.123
2011,1,2,3,35,5.206
2011,1,2,3,40,5.267
2011,1,2,3,45,5.349
2011,1,2,3,50,5.38
2011,1,2,3,55,5.371
2011,1,2,4,0,5.404
2011,1,2,4,5,5.441
2011,1,2,4,10,5.456
2011,1,2,4,15,5.5200000000000005
2011,1,2,4,20,5.554
2011,1,2,4,25,5.548
2011,1,2,4,30,5.511
2011,1,2,4,35,5.484
2011,1,2,4,40,5.447
2011,1,2,4,45,5.496
2011,1,2,4,50,5.526
2011,1,2,4,55,5.517
2011,1,2,5,0,5.468
2011,1,2,5,5,5.401
2011,1,2,5,10,5.352
2011,1,2,5,15,5.2940000000000005
2011,1,2,5,20,5.23
2011,1,2,5,25,5.139
2011,1,2,5,30,5.038
2011,1,2,5,35,5.0200000000000005
2011,1,2,5,40,5.075
2011,1,2,5,45,5.184
2011,1,2,5,50,5.194
2011,1,2,5,55,5.139
2011,1,2,6,0,5.111
2011,1,2,6,5,5.078
2011,1,2,6,10,5.105
2011,1,2,6,15,5.126
2011,1,2,6,20,5.111
2011,1,2,6,25,5.175
2011,1,2,6,30,5.236
2011,1,2,6,35,5.258
2011,1,2,6,40,5.246
2011,1,2,6,45,5.1690000000000005
2011,1,2,6,50,5.157
2011,1,2,6,55,5.1690000000000005
2011,1,2,7,0,5.136
2011,1,2,7,5,5.09
2011,1,2,7,10,5.12
2011,1,2,7,15,5.206
2011,1,2,7,20,5.2330000000000005
2011,1,2,7,25,5.221
2011,1,2,7,30,5.206
2011,1,2,7,35,5.194
2011,1,2,7,40,5.221
2011,1,2,7,45,5.285
2011,1,2,7,50,5.267
2011,1,2,7,55,5.267
2011,1,2,8,0,5.288
2011,1,2,8,5,5.316
2011,1,2,8,10,5.313
2011,1,2,8,15,5.297
2011,1,2,8,20,5.343
2011,1,2,8,25,5.3580000000000005
2011,1,2,8,30,5.349
2011,1,2,8,35,5.346
2011,1,2,8,40,5.343
2011,1,2,8,45,5.349
2011,1,2,8,50,5.429
2011,1,2,8,55,5.49
2011,1,2,9,0,5.477
2011,1,2,9,5,5.41
2011,1,2,9,10,5.3580000000000005
2011,1,2,9,15,5.303
2011,1,2,9,20,5.23
2011,1,2,9,25,5.2
2011,1,2,9,30,5.23
2011,1,2,9,35,5.255
2011,1,2,9,40,5.218
2011,1,2,9,45,5.218
2011,1,2,9,50,5.331
2011,1,2,9,55,5.45
2011,1,2,10,0,5.535
2011,1,2,10,5,5.59
2011,1,2,10,10,5.569
2011,1,2,10,15,5.514
2011,1,2,10,20,5.468
2011,1,2,10,25,5.389
2011,1,2,10,30,5.352
2011,1,2,10,35,5.352
2011,1,2,10,40,5.377
2011,1,2,10,45,5.3740000000000006
2011,1,2,10,50,5.352
2011,1,2,10,55,5.252
2011,1,2,11,0,5.157
2011,1,2,11,5,5.105
2011,1,2,11,10,5.157
2011,1,2,11,15,5.191
2011,1,2,11,20,5.264
2011,1,2,11,25,5.404
2011,1,2,11,30,5.432
2011,1,2,11,35,5.392
2011,1,2,11,40,5.264
2011,1,2,11,45,5.065
2011,1,2,11,50,4.916
2011,1,2,11,55,4.8
2011,1,2,12,0,4.684
2011,1,2,12,5,4.6930000000000005
2011,1,2,12,10,4.727
2011,1,2,12,15,4.797
2011,1,2,12,20,4.885
2011,1,2,12,25,4.9430000000000005
2011,1,2,12,30,4.931
2011,1,2,12,35,4.928
2011,1,2,12,40,4.898
2011,1,2,12,45,4.8580000000000005
2011,1,2,12,50,4.846
2011,1,2,12,55,4.83
2011,1,2,13,0,4.87
2011,1,2,13,5,4.916
2011,1,2,13,10,4.913
2011,1,2,13,15,4.7940000000000005
2011,1,2,13,20,4.66
2011,1,2,13,25,4.599
2011,1,2,13,30,4.5920000000000005
2011,1,2,13,35,4.6290000000000004
2011,1,2,13,40,4.678
2011,1,2,13,45,4.6690000000000005
2011,1,2,13,50,4.586
2011,1,2,13,55,4.464
2011,1,2,14,0,4.33
2011,1,2,14,5,4.196
2011,1,2,14,10,4.0520000000000005
2011,1,2,14,15,3.936
2011,1,2,14,20,3.817
2011,1,2,14,25,3.732
2011,1,2,14,30,3.729
2011,1,2,14,35,3.8080000000000003
